,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Jharkhand,32988134,33727727.96,34483903.63,35257032.74,36047495.42,36855680.27,37681984.62,38526814.71,39390585.9,40273722.83,41176659.7,42099840.41,43043718.83,44008759.01,44995435.39,46004233.05,47035647.95,48090187.18,49168369.18,50270724.01,51397793.65,52550132.18,53728306.14,54932894.77,56164490.27,57423698.14,58711137.45,60027441.15,61373256.38,62749244.79,64156082.86,65594462.24,67065090.08,68568689.4,70105999.42,71677775.92,73284791.66,74927836.69,76607718.79,78325263.84
Assam,31205576,31738255.18,32280027.2,32831047.26,33391473.24,33961465.69,34541187.91,35130805.98,35730488.84,36340408.29,36960739.06,37591658.87,38233348.49,38885991.75,39549775.63,40224890.3,40911529.17,41609888.98,42320169.78,43042575.08,43777311.84,44524590.55,45284625.31,46057633.86,46843837.67,47643461.98,48456735.88,49283892.36,50125168.4,50980805.03,51851047.37,52736144.75,53636350.74,54551923.25,55483124.58,56430221.51,57393485.39,58373192.19,59369622.58,60383062.04
Punjab,27743338,28128692.96,28519400.51,28915534.98,29317171.76,29724387.28,30137259.02,30555865.55,30980286.52,31410602.7,31846895.97,32289249.36,32737747.03,33192474.34,33653517.8,34120965.17,34594905.37,35075428.61,35562626.31,36056591.19,36557417.24,37065199.77,37580035.39,38102022.08,38631259.17,39167847.36,39711888.76,40263486.9,40822746.73,41389774.68,41964678.65,42547568.04,43138553.76,43737748.27,44345265.59,44961221.33,45585732.7,46218918.52,46860899.3,47511797.19
Chhattisgarh,25545198,26122774.93,26713410.87,27317401.09,27935047.53,28566658.95,29212551.11,29873046.89,30548476.48,31239177.53,31945495.34,32667782.99,33406401.56,34161720.3,34934116.8,35723977.18,36531696.3,37357677.95,38202335.05,39066089.85,39949374.14,40852629.49,41776307.44,42720869.75,43686788.62,44674546.91,45684638.41,46717568.09,47773852.3,48854019.1,49958608.48,51088172.61,52243276.2,53424496.67,54632424.54,55867663.66,57130831.53,58422559.64,59743493.71,61094294.1
Haryana,25351462,25855956.09,26370489.62,26895262.36,27430478.08,27976344.6,28533073.86,29100882.03,29679989.58,30270621.37,30873006.74,31487379.57,32113978.42,32753046.59,33404832.22,34069588.38,34747573.19,35439049.9,36144286.99,36863558.3,37597143.11,38345326.26,39108398.25,39886655.38,40680399.82,41489939.78,42315589.58,43157669.81,44016507.44,44892435.94,45785795.41,46696932.74,47626201.7,48573963.12,49540584.98,50526442.62,51531918.83,52557404.02,53603296.36,54670001.95
Delhi,16787941,17144013.23,17507637.75,17878974.75,18258187.8,18645443.96,19040913.83,19444771.61,19857195.22,20278366.33,20708470.48,21147697.14,21596239.79,22054296.04,22522067.66,22999760.71,23487585.64,23985757.33,24494495.24,25014023.49,25544570.93,26086371.27,26639663.21,27204690.47,27781701.95,28370951.85,28972699.74,29587210.7,30214755.44,30855610.4,31510057.9,32178386.23,32860889.8,33557869.27,34269631.68,34996490.57,35738766.13,36496785.36,37270882.18,38061397.59
Jammu Kashmir,12541302,12837778.38,13141263.46,13451922.93,13769926.39,14095447.45,14428663.82,14769757.44,15118914.5,15476325.64,15842185.98,16216695.26,16600057.93,16992483.3,17394185.61,17805384.15,18226303.44,18657173.25,19098228.82,19549710.95,20011866.12,20484946.64,20969210.77,21464922.92,21972353.69,22491780.14,23023485.82,23567761.02,24124902.89,24695215.6,25279010.5,25876606.3,26488329.28,27114513.38,27755500.48,28411640.51,29083291.69,29770820.71,30474602.91,31195022.52
Uttarakhand,10086292,10276015.15,10469307,10666234.66,10866866.54,11071272.3,11279522.93,11491690.75,11707849.46,11928074.11,12152441.18,12381028.6,12613915.75,12851183.5,13092914.26,13339191.98,13590102.18,13845732,14106170.22,14371507.28,14641835.34,14917248.26,15197841.7,15483713.1,15774961.74,16071688.77,16373997.24,16681992.13,16995780.4,17315471.03,17641175.04,17973005.54,18311077.78,18655509.15,19006419.28,19363930.02,19728165.55,20099252.34,20477319.28,20862497.65
Himachal Pradesh,6864602,6953429.95,7043407.333,7134549.024,7226870.089,7320385.788,7415111.58,7511063.124,7608256.28,7706707.117,7806431.907,7907447.136,8009769.502,8113415.919,8218403.521,8324749.662,8432471.923,8541588.11,8652116.26,8764074.644,8877481.77,8992356.384,9108717.476,9226584.28,9345976.281,9466913.214,9589415.071,9713502.102,9839194.819,9966514,10095480.69,10226116.21,10358442.15,10492480.4,10628253.09,10765782.69,10905091.92,11046203.81,11189141.68,11333929.18
Tripura,3673917,3728437.928,3783767.947,3839919.063,3896903.462,3954733.51,4013421.755,4072980.934,4133423.971,4194763.983,4257014.28,4320188.372,4384299.968,4449362.979,4515391.526,4582399.936,4650402.751,4719414.728,4789450.842,4860526.293,4932656.503,5005857.126,5080144.045,5155533.383,5232041.498,5309684.994,5388480.719,5468445.773,5549597.509,5631953.536,5715531.726,5800350.217,5886427.414,5973781.997,6062432.922,6152399.426,6243701.034,6336357.557,6430389.103,6525816.078
