id,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Saitama,6938000,6951876,6965779.752,6979711.312,6993670.734,7007658.076,7021673.392,7035716.739,7049788.172,7063887.748,7078015.524,7092171.555,7106355.898,7120568.61,7134809.747,7149079.367,7163377.525,7177704.28,7192059.689,7206443.808,7220856.696,7235298.409,7249769.006,7264268.544,7278797.081,7293354.675,7307941.385,7322557.267,7337202.382,7351876.787,7366580.54,7381313.701,7396076.329,7410868.481,7425690.218,7440541.599,7455422.682,7470333.527,7485274.194,7500244.743,7515245.232,7530275.723,7545336.274,7560426.947,7575547.801,7590698.896,7605880.294,7621092.055,7636334.239,7651606.907,7666910.121
Chiba,5926000,5943185.4,5960420.638,5977705.858,5995041.204,6012426.824,6029862.862,6047349.464,6064886.778,6082474.949,6100114.127,6117804.457,6135546.09,6153339.174,6171183.858,6189080.291,6207028.624,6225029.007,6243081.591,6261186.527,6279343.968,6297554.066,6315816.973,6334132.842,6352501.827,6370924.082,6389399.762,6407929.022,6426512.016,6445148.901,6463839.832,6482584.968,6501384.464,6520238.479,6539147.171,6558110.698,6577129.219,6596202.893,6615331.882,6634516.344,6653756.442,6673052.335,6692404.187,6711812.159,6731276.415,6750797.116,6770374.428,6790008.514,6809699.538,6829447.667,6849253.065
Tokyo,12064000,12119494.4,12175244.07,12231250.2,12793887.71,12852739.59,12911862.19,12971256.76,13030924.54,13090866.79,13151084.78,13211579.77,13272353.04,13333405.86,13394739.53,13456355.33,13518254.56,13580438.53,13642908.55,13705665.93,13768711.99,13832048.07,13895675.49,13959595.6,14023809.74,14088319.26,14153125.53,14218229.91,14283633.77,14349338.48,14415345.44,14481656.03,14548271.64,14615193.69,14682423.59,14749962.73,14817812.56,14885974.5,14954449.98,15023240.45,15092347.36,15161772.16,15231516.31,15301581.28,15371968.56,15442679.61,15513715.94,15585079.03,15656770.4,15728791.54,15801143.98
Kanagawa,8490000,8514621,8539313.401,8564077.41,8812435.655,8837991.718,8863621.894,8889326.398,8915105.444,8940959.25,8966888.032,8992892.007,9018971.394,9045126.411,9071357.277,9097664.214,9124047.44,9150507.177,9177043.648,9203657.075,9230347.68,9257115.689,9283961.324,9310884.812,9337886.378,9364966.248,9392124.65,9419361.812,9446677.961,9474073.327,9501548.14,9529102.63,9556737.027,9584451.565,9612246.474,9640121.989,9668078.343,9696115.77,9724234.506,9752434.786,9780716.846,9809080.925,9837527.26,9866056.089,9894667.652,9923362.188,9952139.938,9981001.144,10009946.05,10038974.89,10068087.92
Niigata,2476000,2470305.2,2464623.498,2458954.864,2402398.902,2396873.385,2391360.576,2385860.447,2380372.968,2374898.11,2369435.844,2363986.142,2358548.973,2353124.311,2347712.125,2342312.387,2336925.069,2331550.141,2326187.576,2320837.344,2315499.418,2310173.77,2304860.37,2299559.191,2294270.205,2288993.383,2283728.699,2278476.123,2273235.628,2268007.186,2262790.769,2257586.35,2252393.902,2247213.396,2242044.805,2236888.102,2231743.259,2226610.25,2221489.046,2216379.621,2211281.948,2206196,2201121.749,2196059.169,2191008.233,2185968.914,2180941.185,2175925.021,2170920.393,2165927.276,2160945.644
Toyama,1121000,1119094.3,1117191.84,1115292.614,1113396.616,1111503.842,1109614.285,1107727.941,1105844.804,1103964.867,1102088.127,1100214.577,1098344.213,1096477.027,1094613.016,1092752.174,1090894.496,1089039.975,1087188.607,1085340.386,1083495.308,1081653.366,1079814.555,1077978.87,1076146.306,1074316.857,1072490.519,1070667.285,1068847.15,1067030.11,1065216.159,1063405.292,1061597.503,1059792.787,1057991.139,1056192.554,1054397.027,1052604.552,1050815.124,1049028.739,1047245.39,1045465.072,1043687.782,1041913.513,1040142.26,1038374.018,1036608.782,1034846.547,1033087.308,1031331.06,1029577.797
Ishikawa,1181000,1180527.6,1180055.389,1179583.367,1179111.533,1178639.889,1178168.433,1177697.166,1177226.087,1176755.196,1176284.494,1175813.98,1175343.655,1174873.517,1174403.568,1173933.806,1173464.233,1172994.847,1172525.649,1172056.639,1171587.816,1171119.181,1170650.734,1170182.473,1169714.4,1169246.515,1168778.816,1168311.304,1167843.98,1167376.842,1166909.892,1166443.128,1165976.55,1165510.16,1165043.956,1164577.938,1164112.107,1163646.462,1163181.003,1162715.731,1162250.645,1161785.745,1161321.03,1160856.502,1160392.159,1159928.002,1159464.031,1159000.246,1158536.645,1158073.231,1157610.001
Fukui,829000,827424.9,825852.7927,824283.6724,822717.5334,821154.3701,819594.1768,818036.9479,816482.6777,814931.3606,813382.991,811837.5633,810295.0719,808755.5113,807218.8758,805685.16,804154.3582,802626.4649,801101.4746,799579.3818,798060.181,796543.8666,795030.4333,793519.8754,792012.1877,790507.3645,789005.4005,787506.2903,786010.0283,784516.6093,783026.0277,781538.2783,780053.3555,778571.2542,777091.9688,775615.494,774141.8246,772670.9551,771202.8803,769737.5948,768275.0934,766815.3707,765358.4215,763904.2405,762452.8225,761004.1621,759558.2542,758115.0935,756674.6748,755236.993,753802.0427
Yamanashi,888000,885868.8,883742.7149,881621.7324,879505.8402,877395.0262,875289.2781,873188.5839,871092.9313,869002.3082,866916.7027,864836.1026,862760.496,860689.8708,858624.2151,856563.517,854507.7645,852456.9459,850411.0492,848370.0627,846333.9745,844302.773,842276.4463,840254.9829,838238.3709,836226.5988,834219.655,832217.5278,830220.2058,828227.6773,826239.9308,824256.955,822278.7383,820305.2693,818336.5367,816372.529,814413.2349,812458.6432,810508.7424,808563.5214,806622.969,804687.0739,802755.8249,800829.2109,798907.2208,796989.8435,795077.0678,793168.8829,791265.2776,789366.2409,787471.7619
Nagano,2215000,2210570,2206148.86,2201736.562,2197333.089,2192938.423,2188552.546,2184175.441,2179807.09,2175447.476,2171096.581,2166754.388,2162420.879,2158096.037,2153779.845,2149472.286,2145173.341,2140882.994,2136601.228,2132328.026,2128063.37,2123807.243,2119559.629,2115320.509,2111089.868,2106867.689,2102653.953,2098448.645,2094251.748,2090063.245,2085883.118,2081711.352,2077547.929,2073392.833,2069246.048,2065107.555,2060977.34,2056855.386,2052741.675,2048636.192,2044538.919,2040449.841,2036368.942,2032296.204,2028231.611,2024175.148,2020126.798,2016086.544,2012054.371,2008030.262,2004014.202
Gifu,2108000,2105259.6,2102522.763,2099789.483,2097059.757,2094333.579,2091610.945,2088891.851,2086176.292,2083464.262,2080755.759,2078050.776,2075349.31,2072651.356,2069956.91,2067265.966,2064578.52,2061894.568,2059214.105,2056537.126,2053863.628,2051193.605,2048527.054,2045863.969,2043204.345,2040548.18,2037895.467,2035246.203,2032600.383,2029958.003,2027319.057,2024683.542,2022051.454,2019422.787,2016797.537,2014175.7,2011557.272,2008942.248,2006330.623,2003722.393,2001117.554,1998516.101,1995918.03,1993323.337,1990732.016,1988144.065,1985559.477,1982978.25,1980400.378,1977825.858,1975254.684
Shizuoka,3767000,3764363.1,3761728.046,3759094.836,3756463.47,3753833.945,3751206.262,3748580.417,3745956.411,3743334.241,3740713.907,3738095.408,3735478.741,3732863.906,3730250.901,3727639.725,3725030.378,3722422.856,3719817.16,3717213.288,3714611.239,3712011.011,3709412.604,3706816.015,3704221.243,3701628.289,3699037.149,3696447.823,3693860.309,3691274.607,3688690.715,3686108.631,3683528.355,3680949.886,3678373.221,3675798.359,3673225.3,3670654.043,3668084.585,3665516.926,3662951.064,3660386.998,3657824.727,3655264.25,3652705.565,3650148.671,3647593.567,3645040.251,3642488.723,3639938.981,3637391.024
Aichi,7043000,7058494.6,7074023.288,7089586.139,7105183.229,7120814.632,7136480.424,7152180.681,7167915.479,7183684.893,7199488.999,7215327.875,7231201.597,7247110.24,7263053.883,7279032.601,7295046.473,7311095.575,7327179.985,7343299.781,7359455.041,7375645.842,7391872.263,7408134.382,7424432.277,7440766.028,7457135.714,7473541.412,7489983.203,7506461.166,7522975.381,7539525.927,7556112.884,7572736.332,7589396.352,7606093.024,7622826.429,7639596.647,7656403.759,7673247.848,7690128.993,7707047.277,7724002.781,7740995.587,7758025.777,7775093.434,7792198.639,7809341.477,7826522.028,7843740.376,7860996.605
